 algorithm_run_ID  |         run_reason          |  timestamp  |  algorithm_run_time [s]  |  start coordinates [x,y,z]  |  destination coordinates [x,y,z]  |  length_of_path [m]  |  time_spent_at_node [s]  |  weather_refresh_interval [s]  | shortest_path | altitude_changes [m]
        1         |       new destination       |  10:21:08   |          0.001           |        [50, 50, 700]        |          [404, 398, 20]           |         496          |            10            |               4                | ['start', 'dest'] | [700, 690]
        2         |           weather           |  10:21:10   |           0.0            |        [50, 50, 700]        |          [404, 398, 20]           |         496          |            10            |               4                | ['start', 'dest'] | [700, 690]
        3         |       new destination       |  10:21:12   |           0.0            |        [50, 50, 700]        |          [199, 430, 20]           |         407          |            10            |               4                | ['start', '2', 'dest'] | [700, 695, 692]
        4         |           weather           |  10:21:14   |           0.0            |        [50, 50, 700]        |          [199, 430, 20]           |         407          |            10            |               4                | ['start', '2', 'dest'] | [700, 695, 692]
        5         |           weather           |  10:21:18   |           0.0            |        [50, 50, 700]        |          [199, 430, 20]           |         407          |            10            |               4                | ['start', '2', 'dest'] | [700, 695, 692]
        6         |           weather           |  10:21:22   |           0.0            |        [50, 50, 700]        |          [199, 430, 20]           |         407          |            10            |               4                | ['start', '2', 'dest'] | [700, 695, 692]
        7         |       new destination       |  10:21:23   |           0.0            |        [50, 50, 700]        |           [66, 352, 20]           |         302          |            10            |               4                | ['start', 'dest'] | [700, 693]
        8         |           weather           |  10:21:26   |           0.0            |        [50, 50, 700]        |           [66, 352, 20]           |         302          |            10            |               4                | ['start', 'dest'] | [700, 693]
        9         |       new destination       |  10:21:27   |          0.001           |        [50, 50, 700]        |           [99, 365, 20]           |         318          |            10            |               4                | ['start', 'dest'] | [700, 693]
       10         |       new destination       |  10:21:29   |           0.0            |        [50, 50, 700]        |           [97, 484, 20]           |         435          |            10            |               4                | ['start', '1', 'dest'] | [700, 696, 691]
       11         |           weather           |  10:21:30   |           0.0            |        [50, 50, 700]        |           [97, 484, 20]           |         435          |            10            |               4                | ['start', '1', 'dest'] | [700, 696, 691]
       12         |           weather           |  10:21:34   |           0.0            |        [50, 50, 700]        |           [97, 484, 20]           |         435          |            10            |               4                | ['start', '1', 'dest'] | [700, 696, 691]
       13         |       new destination       |  10:21:35   |           0.0            |        [50, 50, 700]        |          [436, 351, 20]           |         489          |            10            |               4                | ['start', 'dest'] | [700, 690]
       14         |           weather           |  10:21:38   |           0.0            |        [50, 50, 700]        |          [436, 351, 20]           |         489          |            10            |               4                | ['start', 'dest'] | [700, 690]
       15         |       new destination       |  10:21:39   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       16         |           weather           |  10:21:42   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       17         |           weather           |  10:21:46   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       18         |           weather           |  10:21:50   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       19         |           weather           |  10:21:54   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       20         |           weather           |  10:21:58   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       21         |           weather           |  10:22:02   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       22         |           weather           |  10:22:06   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       23         |           weather           |  10:22:10   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       24         |           weather           |  10:22:14   |          0.001           |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       25         |           weather           |  10:22:18   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
       26         |           weather           |  10:22:22   |           0.0            |        [50, 50, 700]        |          [503, 318, 20]           |         525          |            10            |               4                | ['start', '6', 'dest'] | [700, 691, 690]
